I am the life of the party.,I feel little concern for others.,I am prepared.,I get stressed out easily.,I have a rich vocabulary.,I don't talk a lot.,I am interested in people.,I leave my belongings around.,I am relaxed most of the time.,I have difficulty understanding abstract ideas.,I feel comfortable around people.,I insult people.,I pay attention to details.,I worry about things.,I have a vivid imagination.,I keep in the background.,I sympathize with others' feelings.,I make a mess of things.,I seldom feel blue.,I am not interested in abstract ideas.,I start conversations.,I am not interested in other people's problems.,I get chores done right away. ,I am easily disturbed.,I have excellent ideas.,I have little to say.,I have a soft heart.,I forget to put things back in their proper place.,I get upset easily.,I do not have a good imagination.,I talk to a lot of different people at parties.,I am not really interested in others.,I like order.,I change my mood a lot.,I am quick to understand things.,I don't like to draw attention to myself.,I take time out for others.,I shirk my duties.,I have frequent mood swings.,I use difficult words. ,I don't mind being the center of attention.,I feel others' emotions.,I follow a schedule.,I get irritated easily.,I spend time reflecting on things.,I am quiet around strangers.,I make people feel at ease. ,I am exacting in my work. ,I often feel blue.,I am full of ideas.,"In between 75 and 150 words, please describe your personality as it relates to the 5 personality traits outlined above. Be sure not to use the name of the personality traits themselves in your response."
Strongly Disagree,Disagree,Strongly Agree,Disagree,Neutral,Neutral,Neutral,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Neutral,Agree,Agree,Disagree,Neutral,Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Disagree,Neutral,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Disagree,"I am a person that very much likes to keep to myself.  I am usually pretty quiet around people that I dont know well, but am willing to open up and be myself around my close friends.  I tend to be a trusting person and that can often make me change my mind when someone makes a compelling argument on a subject.  I do not like to be confrontational with people and I worry sometimes about others feelings and try not to upset people often when I can control it.  I am often moved by things I see and am someone that does feel things a bit deeper than others do at times.  I am not comfortable with new things and tasks initially as I prefer to keep to a norm and know what I can expect from different situations.  Change and surprise are not my friend!"
Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,"I would not say I am an extreme extrovert, but I am not shy and usually get along well with most people. I work well with others, my job demands it. I don't have any enemies I know about. I try to be honest with and keep appointments and not talk behind their back. I have a few neurotic hangups - I do not like heights and I avoid caffeine because it makes me ver jumpy. But I am not that neurotic. I would not however say I embrace new experiences at this point in my life. I know what I like and am reluctant to change my habits and the things that I do. I like a routine,  and a certain amount of order, it keeps me on track."
Strongly Disagree,Neutral,Neutral,Strongly Agree,Disagree,Strongly Agree,Disagree,Neutral,Neutral,Agree,Disagree,Disagree,Neutral,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Neutral,Strongly Disagree,Agree,Agree,Neutral,Neutral,Strongly Agree,Neutral,Disagree,Neutral,Disagree,Strongly Disagree,Neutral,Agree,Agree,Disagree,Agree,Neutral,Disagree,Neutral,Disagree,"I am more introverted. I like to keep to myself. I am not that outgoing. I am quiet most of the time. I prefer to do things alone and have no problem being on my own. I don't need others approval and prefer to be myself in all situations. I do try my best to be honest though and to work hard. I don't want to live an immoral life. I tend to feel emotions strongly though. I get stressed out easy and sometimes I overreact to situations. I tend to get angry pretty easily. Lastly, despite all of that. I try to do new things and want to experience the world, even if alone."
Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,"I try to keep my emotions level all around. I don't get too high nor too low. I tend to take a neutral stance on many things, I mean I have feelings, but don't often form opinions that are strong enough to make public. I am still figuring myself out, so I am tolerant of other viewpoints. I prefer to hear other people's perspectives through in person, but I tend to be shy, so it's hard for me to meet people in general."
Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Strongly Disagree,Disagree,I never really seek fulfillment outside my surroundings.  I am okay to join others in endeavors but I am not the one to suggest them.  I am very copasetic. I am the type of person that can do a task that is mundane and repetitive for hours and not get annoyed with it.
Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Strongly Agree,Disagree,Agree,I believe I have low levels of extroversion.  I prefer to mostly be alone. I believe I am fairly agreeable as I am polite and considerate of others. I am very conscientious. I work hard and strive to never let others down. I believe I have low levels of neuroticism. I am pretty even keeled. I am highly open to new ideas and new experiences. I consider myself to be creative.
Neutral,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Disagree,Agree,"I am fairly outgoing for the most part. I feel comfortable when I'm around other people, even strangers. I don't feel anxiety when in social situations. I tend to want to fit in with others. I make sure that my surroundings are clean. I would rather work together with someone and not cheat them. I would not want to cheat to get ahead in life. I am almost always emotionally stable and steady. I like to do new things and have different experiences in life."
Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,"I would consider myself borderline Extroversion, in my younger years I was very outgoing but, unfortunately due to some things that have happened to me I am not so social any longer. I am very agreeable and naïve, passive.  I am very hard working and care very much about my work. I am pretty emotional and sensitive. I don't seek out new experiences and don't like change. "
Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Disagree,Disagree,Neutral,Strongly Disagree,Disagree,Agree,Agree,Neutral,Agree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Neutral,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Disagree,Neutral,"I consider myself to be someone that is quiet and reserved. I do not like to talk that much unless I have to. I am fine with being by myself and enjoying the peace and quiet. I usually agree with people more often than not. I am a polite and kind person. I am mostly honest, but I will lie if I feel it is necessary or if it benefits me in a huge way. I am easily irritated by things and I have anxiety issues. I like to be open minded and learn about new things. I am a curious person. I enjoy having a plan and following it. "
Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Neutral,I am slightly extraverted although times I feel introverted as well. I am a polite person who avoids confrontations if at all avoidable. I am honest and hard working I believe that I am conscientious and like to keep my mistakes to a minimum. My mood is fairly steady and I try to stay in the middle emotion wise. I do not experiences very many extreme highs or lows. I am a curious person and feel a deep need to constantly learn new things and explore the world around me. I can be creative at times.
