I am the life of the party.,I feel little concern for others.,I am prepared.,I get stressed out easily.,I have a rich vocabulary.,I don't talk a lot.,I am interested in people.,I leave my belongings around.,I am relaxed most of the time.,I have difficulty understanding abstract ideas.,I feel comfortable around people.,I insult people.,I pay attention to details.,I worry about things.,I have a vivid imagination.,I keep in the background.,I sympathize with others' feelings.,I make a mess of things.,I seldom feel blue.,I am not interested in abstract ideas.,I start conversations.,I am not interested in other people's problems.,I get chores done right away. ,I am easily disturbed.,I have excellent ideas.,I have little to say.,I have a soft heart.,I forget to put things back in their proper place.,I get upset easily.,I do not have a good imagination.,I talk to a lot of different people at parties.,I am not really interested in others.,I like order.,I change my mood a lot.,I am quick to understand things.,I don't like to draw attention to myself.,I take time out for others.,I shirk my duties.,I have frequent mood swings.,I use difficult words. ,I don't mind being the center of attention.,I feel others' emotions.,I follow a schedule.,I get irritated easily.,I spend time reflecting on things.,I am quiet around strangers.,I make people feel at ease. ,I am exacting in my work. ,I often feel blue.,I am full of ideas.,"In between 75 and 150 words, please describe your personality in free text."
Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Neutral,Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Strongly Disagree,Neutral,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,"I am a very open-minded, polite person and always crave new experiences. At work I manage a team of software developers and we often have to come up with new ideas.  I went to college and majored in computer science, and enjoyed the experience.  I have met many like-minded people and I enjoy speaking with them about a lot of various topics. I am sometimes shy around people who I don't know well, but I try to be welcoming and warm to everyone I meet. I try to do something fun every week, even if I'm quite busy, like having a BBQ or watching a movie. I have a wife whom I love and we live together in a nice single-family home."
Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Neutral,Strongly Disagree,Agree,Disagree,Neutral,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,"I dislike the idea of having to talk to people I don't know and making small talk. I think its a waste of time if I am not going to see them again, and I do not trust people I do not know enough to actually invest my time in them, as for people I do know I give them my undivided attention. If I have to be a party or group function, I will stick to the people I know, or just hang back and enjoy myself without talking to others, only talking to those that I need to. I feel it allows me to not stress so much considering I tend to take on other peoples problems. "
Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,"I enjoy meeting people and talking to them, learning about them and their lives. I like to help others, and think I'm a caring person. I am a hard worker and take pride in making sure that I do my best at all times. I have a good imagination and really enjoy reading and listening to music. I don't always follow a routine because I enjoy taking each day as it comes. I think that I am a kind hearted person in general, and avoid disruption in my life."
Strongly Disagree,Neutral,Disagree,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Neutral,Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Disagree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Disagree,"I am often uncomfortable and self-conscious around people I don't know well. I have a lot of anxiety in social situations and avoid them if it's possible. When I do become close to someone though I am happy to spend time with them and share in experiences. Mentally I try and put myself in other people's shoes and give them the benefit of the doubt, but emotionally I tend to be critical and uncaring about other people's problems despite feeling guilty for feeling that way. I constantly fret about things and it always seems like my mind is going in a hundred different directions at once so I become irritated extremely easily out of frustration and stress."
Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,"I personally like to take time to help people as much as I possibly can. I usually try to make sure people are comfortable at first and then I talk to them deeply about issue, and then try to solve those issues as best as I can. I try to make my presence known and keep people interested in a way that keeps people calm, but entertained. I also try to make other people's success my own success. I try to help push people to the next level, and if they reach that with my help, I feel I succeeded as that was my personal task."
Neutral,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Neutral,Strongly Disagree,Agree,Disagree,Agree,Neutral,Strongly Disagree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,"My personality has many facets. For the most part, I am pretty outgoing. I am able to talk to just about anyone pretty easily. As well, I am a very good listener. I'm willing to hear people out and do my best to relate to and empathize with their situation. 
I'm uncomfortable being the center of attention and am more comfortable interacting in small groups.
I am exceedingly patient and very, very rarely lose my cool or get angry. I value close relationships, deep conversation, and laughter. I have a really good sense of humor. This allows me to put others at ease. All in all, I am a pretty easy going person."
Strongly Disagree,Disagree,Neutral,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Neutral,Agree,Disagree,Strongly Agree,Agree,Disagree,Neutral,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Neutral,Agree,Neutral,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Disagree,"In term of my personalities, I tend to keep my emotions to myself and opt to avoid social situations. I don't like to mingle with others and otherwise will avoid activities that relies on interacting with others. While I can accept others for who they are and have high tolerance for others, I tend to avoid getting close in relationship situations. I am also someone who can be diligent in their work but can also give up if I feel that I'm not up to the task. I'm also somewhat of a fearful person who avoid risks and take things at a slow pace."
Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,"I am mainly a person that worries a lot. I tend to be nervous as I worry about bad things that might happen. I also feel the need to be prepared and organized. I am moody as I do like to experience happiness, but worry drags my mood down and then I become worrisome, blue, and irritable. I would like to be carefree but that is extremely difficult for me. I tend not to be extroverted around people because I have an intense fear of being judged. I don't like myself much and I automatically assume people are going to see the worst in me and so I really try to keep to myself to avoid being hurt or embarrassed. On my own I do feel happy around my son, and when I am working alone or participating in hobbies that I enjoy. Because I am alone a lot I feel uncomfortable being around people and I feel awkward trying to interact with others or start conversations in social settings. I will respond if people talk to me but it's hard for me to think of things to talk about that won't put me in a position of being judged. "
Disagree,Neutral,Disagree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,I think of myself as someone who tries to do the right thing and who tries to follow the rules. I have ideally just wanted to do my own thing and be in control of things for myself. I have a tendency to overreact or overthink situations and I can get stuck in thought loops pretty easily. I want to be able to do what is best for me but I try not to hurt anyone. My mind is very busy.
Agree,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Strongly Disagree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Agree,"The personality of mine is happy person , easily join hands with others to have fun in any moment. Also have a good understanding of people around me and many people founds me amazing and the time passes for people who spends time with me. Friends of mine have more knowledge of outer surroundings and the news about the whole world. I like to speak , discuss and argue with those people mostly because I like to gather more knowledge. Totally i have the thrust for knowledge and fun."
